#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Cryptococcus neoformans var. grubii D17-1,Eukaryota;Fungi;Basidiomycetes,D17-1,SAMN01162747,PRJNA174541,GCA_002222255.1,Scaffold,18.6391,48.3,,AMLH01,537,6895,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii AD1-83a,Eukaryota;Fungi;Basidiomycetes,AD1-83a,SAMN01162754,PRJNA174548,GCA_002215765.1,Scaffold,18.6369,48.2,,AMLA01,498,6969,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii c8,Eukaryota;Fungi;Basidiomycetes,c8,SAMN01162752,PRJNA174546,GCA_002222405.1,Scaffold,18.6299,47.6,,AMLC01,158,6961,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii AD2-60a,Eukaryota;Fungi;Basidiomycetes,AD2-60a,SAMN01162748,PRJNA174542,GCA_002215775.1,Scaffold,18.6297,48,,AMLG01,168,6862,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,WM-1408,SAMN04508124,PRJNA312861,GCA_002220045.1,Scaffold,18.6192,48.2,,NKHY01,898,6996,2017-07-17T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM36,SAMEA104141297,PRJNA193063,GCA_002222245.1,Scaffold,18.6103,48.2,,APKJ01,465,6927,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,RCT54,SAMEA104141359,PRJNA193058,GCA_002222015.1,Scaffold,18.606,48.2,,APKO01,494,6969,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,RCT6,SAMEA104141361,PRJNA193057,GCA_002222095.1,Scaffold,18.6028,48.2,,APKP01,588,6996,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii Th84,Eukaryota;Fungi;Basidiomycetes,Th84,SAMN01162756,PRJNA174550,GCA_002222315.1,Scaffold,18.5985,47.6,,AMKY01,118,6941,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii Tu401-1,Eukaryota;Fungi;Basidiomycetes,Tu401-1,SAMN01162766,PRJNA174560,GCA_002222475.1,Scaffold,18.574,47.3,,AMKO01,49,6862,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii Tu259-1,Eukaryota;Fungi;Basidiomycetes,Tu259-1,SAMN01162761,PRJNA174555,GCA_002222325.1,Scaffold,18.5732,47.7,,AMKT01,120,6942,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM64,SAMEA104141301,PRJNA193054,GCA_002222025.1,Scaffold,18.5687,48.2,,APKS01,568,6941,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM50,SAMEA104141299,PRJNA193062,GCA_002222135.1,Scaffold,18.5603,48.2,,APKK01,511,6942,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM24,SAMEA104141295,PRJNA193056,GCA_002222145.1,Scaffold,18.557,48.2,,APKQ01,511,6942,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3746,SAMN16533795,PRJNA669191,GCA_019969275.1,Contig,18.5464,48.2,,JADMAV01,111,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/275/GCA_019969275.1_PUJ.INS_Cneo_3746,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0137,SAMN16236526,PRJNA664881,GCA_020975705.1, Chromosome,18.5419,48.214,chromosome 1:CM037376.1; chromosome 2:CM037377.1; chromosome 3:CM037378.1; chromosome 4:CM037379.1; chromosome 5:CM037380.1; chromosome 6:CM037381.1; chromosome 7:CM037382.1; chromosome 8:CM037383.1; chromosome 9:CM037384.1; chromosome 10:CM037385.1; chromosome 11:CM037386.1; chromosome 12:CM037387.1; chromosome 13:CM037388.1; chromosome 14:CM037389.1,JAHXJJ01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/705/GCA_020975705.1_ASM2097570v1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM52,SAMEA104141300,PRJNA193053,GCA_002222165.1,Scaffold,18.5212,48.2,,APKT01,497,6947,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CM20,SAMEA104141294,PRJNA193055,GCA_002222115.1,Scaffold,18.5168,48.2,,APKR01,588,6949,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii MW-RSA1955,Eukaryota;Fungi;Basidiomycetes,MW-RSA1955,SAMN01162755,PRJNA174549,GCA_002222455.1,Contig,18.5123,48.2,,AMKZ01,487,6940,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2672,SAMN16533802,PRJNA669191,GCA_019970615.1,Contig,18.5101,48.2,,JADMBO01,113,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/615/GCA_019970615.1_PUJ.INS_Cneo_2672,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,RCT21,SAMEA104141273,PRJNA193061,GCA_002222155.1,Scaffold,18.5056,48.2,,APKL01,587,6943,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii Bt1,Eukaryota;Fungi;Basidiomycetes,Bt1,SAMN01162762,PRJNA174556,GCA_002215705.1,Scaffold,18.5023,47.8,,AMKS01,52,6907,2017-06-27T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-1959,SAMN16533796,PRJNA669191,GCA_019970885.1,Contig,18.5018,48.2,,JADMBX01,166,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/885/GCA_019970885.1_PUJ.INS_Cneo_1959,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2677,SAMN16533799,PRJNA669191,GCA_019970565.1,Contig,18.5007,48.2,,JADMBN01,180,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/565/GCA_019970565.1_PUJ.INS_Cneo_2677,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3097,SAMN16533791,PRJNA669191,GCA_019970185.1,Contig,18.4993,48.2,,JADMBB01,186,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/185/GCA_019970185.1_PUJ.INS_Cneo_3097,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2720,SAMN16533804,PRJNA669191,GCA_019970475.1,Contig,18.4959,48.2,,JADMBL01,109,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/475/GCA_019970475.1_PUJ.INS_Cneo_2720,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2583,SAMN16533779,PRJNA669191,GCA_019970785.1,Contig,18.4954,48.2,,JADMBT01,154,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/785/GCA_019970785.1_PUJ.INS_Cneo_2583,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2641,SAMN16533801,PRJNA669191,GCA_019970625.1,Contig,18.4938,48.2,,JADMBR01,109,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/625/GCA_019970625.1_PUJ.INS_Cneo_2641,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2926,SAMN16533805,PRJNA669191,GCA_019970285.1,Contig,18.4932,48.2,,JADMBD01,184,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/285/GCA_019970285.1_PUJ.INS_Cneo_2926,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3102,SAMN16533792,PRJNA669191,GCA_019970135.1,Contig,18.4927,48.2,,JADMBA01,187,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/135/GCA_019970135.1_PUJ.INS_Cneo_3102,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2642,SAMN16533781,PRJNA669191,GCA_019970585.1,Contig,18.4821,48.2,,JADMBQ01,174,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/585/GCA_019970585.1_PUJ.INS_Cneo_2642,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2713,SAMN16533803,PRJNA669191,GCA_019970465.1,Contig,18.4805,48.2,,JADMBM01,174,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/465/GCA_019970465.1_PUJ.INS_Cneo_2713,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2619,SAMN16533780,PRJNA669191,GCA_019970715.1,Contig,18.4735,48.2,,JADMBS01,175,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/715/GCA_019970715.1_PUJ.INS_Cneo_2619,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2881,SAMN16533789,PRJNA669191,GCA_019970295.1,Contig,18.471,48.2,,JADMBE01,170,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/295/GCA_019970295.1_PUJ.INS_Cneo_2881,
Cryptococcus neoformans var. grubii AD1-7a,Eukaryota;Fungi;Basidiomycetes,AD1-7a,SAMN01162745,PRJNA174539,GCA_002220445.1,Contig,18.4685,48.2,,AMLJ01,313,6878,2017-07-17T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,BK147,SAMEA4535465,PRJEB17690,GCA_900177175.1,Scaffold,18.4631,48.2,,FWZN01,1201,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/175/GCA_900177175.1_BK147,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2746,SAMN16533784,PRJNA669191,GCA_019970445.1,Contig,18.4573,48.2,,JADMBJ01,189,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/445/GCA_019970445.1_PUJ.INS_Cneo_2746,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3104,SAMN16533797,PRJNA669191,GCA_019970145.1,Contig,18.456,48.2,,JADMAZ01,158,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/145/GCA_019970145.1_PUJ.INS_Cneo_3104,
Cryptococcus neoformans var. grubii Gb118,Eukaryota;Fungi;Basidiomycetes,Gb118,SAMN01162749,PRJNA174543,GCA_002224005.1,Scaffold,18.4523,47.9,,AMLF01,68,6908,2017-07-24T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535469,PRJEB17690,GCA_900177225.1,Scaffold,18.4488,48.2,,FWZR01,1063,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/225/GCA_900177225.1_BMD1646,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2950,SAMN16533790,PRJNA669191,GCA_019970125.1,Contig,18.4477,48.2,,JADMBC01,160,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/125/GCA_019970125.1_PUJ.INS_Cneo_2950,
Cryptococcus neoformans var. grubii MW-RSA36,Eukaryota;Fungi;Basidiomycetes,MW-RSA36,SAMN01162751,PRJNA174545,GCA_002222395.1,Scaffold,18.4475,48.2,,AMLD01,457,6911,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535472,PRJEB17690,GCA_900177165.1,Scaffold,18.4475,48.2,,FWZK01,1144,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/165/GCA_900177165.1_BMD1415,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535466,PRJEB17690,GCA_900177185.1,Scaffold,18.4461,48.2,,FWZM01,1130,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/185/GCA_900177185.1_BK78,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2503,SAMN16533778,PRJNA669191,GCA_019970725.1,Contig,18.4455,48.2,,JADMBV01,128,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/725/GCA_019970725.1_PUJ.INS_Cneo_2503,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3279,SAMN16533806,PRJNA669191,GCA_019970155.1,Contig,18.4454,48.2,,JADMAY01,153,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/155/GCA_019970155.1_PUJ.INS_Cneo_3279,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2779,SAMN16533785,PRJNA669191,GCA_019970415.1,Contig,18.443,48.2,,JADMBI01,151,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/415/GCA_019970415.1_PUJ.INS_Cneo_2779,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535468,PRJEB17690,GCA_900177215.1,Scaffold,18.4422,48.2,,FWZP01,1183,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/215/GCA_900177215.1_BMD1338,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2527,SAMN16533800,PRJNA669191,GCA_019970755.1,Contig,18.4415,48.2,,JADMBU01,164,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/755/GCA_019970755.1_PUJ.INS_Cneo_2527,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3463,SAMN16533793,PRJNA669191,GCA_019969285.1,Contig,18.4397,48.2,,JADMAX01,154,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/285/GCA_019969285.1_PUJ.INS_Cneo_3463,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,V31,SAMN04508123,PRJNA312860,GCA_002215745.1,Scaffold,18.4362,48.1,,NKHX01,841,7040,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2725,SAMN16533783,PRJNA669191,GCA_019970455.1,Contig,18.4344,48.2,,JADMBK01,159,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/455/GCA_019970455.1_PUJ.INS_Cneo_2725,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2808,SAMN16533788,PRJNA669191,GCA_019970315.1,Contig,18.4296,48.2,,JADMBF01,153,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/315/GCA_019970315.1_PUJ.INS_Cneo_2808,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2806,SAMN16533786,PRJNA669191,GCA_019970345.1,Contig,18.4243,48.2,,JADMBH01,153,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/345/GCA_019970345.1_PUJ.INS_Cneo_2806,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535467,PRJEB17690,GCA_900177155.1,Scaffold,18.4051,48.2,,FWZQ01,1052,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/155/GCA_900177155.1_BMD700,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535471,PRJEB17690,GCA_900177205.1,Scaffold,18.4037,48.2,,FWZL01,946,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/205/GCA_900177205.1_BMD1367,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2643,SAMN16533782,PRJNA669191,GCA_019970605.1,Contig,18.401,48.2,,JADMBP01,163,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/605/GCA_019970605.1_PUJ.INS_Cneo_2643,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Clinical,SAMEA4535470,PRJEB17690,GCA_900177195.1,Scaffold,18.3776,48.2,,FWZO01,1111,0,2017-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/195/GCA_900177195.1_BK80,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,V2,SAMN04508122,PRJNA312859,GCA_002215755.1,Scaffold,18.3689,48.1,,NKHW01,669,7037,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2807,SAMN16533787,PRJNA669191,GCA_019970275.1,Contig,18.2668,48.2,,JADMBG01,74,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/275/GCA_019970275.1_PUJ.INS_Cneo_2807,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-3589,SAMN16533794,PRJNA669191,GCA_019969295.1,Contig,18.2588,48.2,,JADMAW01,222,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/969/295/GCA_019969295.1_PUJ.INS_Cneo_3589,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H0058-I-2257,SAMN16533798,PRJNA669191,GCA_019970795.1,Contig,18.2375,48.2,,JADMBW01,111,0,2021-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/795/GCA_019970795.1_PUJ.INS_Cneo_2257,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,C8,SAMN16236535,PRJNA664881,GCA_020975525.1, Chromosome,18.1964,48.227,chromosome 1:CM037236.1; chromosome 2:CM037237.1; chromosome 3:CM037238.1; chromosome 4:CM037239.1; chromosome 5:CM037240.1; chromosome 6:CM037241.1; chromosome 7:CM037242.1; chromosome 8:CM037243.1; chromosome 9:CM037244.1; chromosome 10:CM037245.1; chromosome 11:CM037246.1; chromosome 12:CM037247.1; chromosome 13:CM037248.1; chromosome 14:CM037249.1,JAHXJA01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/525/GCA_020975525.1_ASM2097552v1,
Cryptococcus neoformans var. grubii c45,Eukaryota;Fungi;Basidiomycetes,c45,SAMN01162757,PRJNA174551,GCA_002215855.1,Scaffold,18.1848,48.2,,AMKX01,530,6900,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,CCTP51,SAMEA104141269,PRJNA193060,GCA_002217545.1,Scaffold,18.0838,48.2,,APKM01,565,6840,2017-07-13T00:00:00Z,,
Cryptococcus neoformans var. grubii MW-RSA852,Eukaryota;Fungi;Basidiomycetes,MW-RSA852,SAMN01162758,PRJNA174552,GCA_002220035.1,Contig,17.9865,48.2,,AMKW01,574,6909,2017-07-17T00:00:00Z,,
